Column 1,RL Tracker,2s Current,2s Peak,2s Gm C,2s Gm P,3s Current,3s Peak,3s Gm C,3s Gm P,Total Games,2s Score,3s Score,2s %,3s %,Raw Score,Salary (Final),Current,Peak,Lifetime Wins,,,
Nuitary,Link,1164,1333,529,371,947,1179,51,81,1032,1290.75,1121,87%,13%,1269,1275,25,75,3677,,,
figgbot,Link,1711,1768,465,132,1274,1308,84,9,690,1753.75,1299.5,87%,13%,1693,1700,25,75,4897,,,
Zerxywtf,Link,958,1120,194,502,909,909,44,126,866,1079.5,909,80%,20%,1046,1050,25,75,1387,,,
awesome,Link,1412,1424,11,35,1152,1197,1,70,117,1421,1185.75,39%,61%,1278,1275,25,75,4182,,,
reign,Link,1394,1509,63,136,1296,1353,72,146,417,1480.25,1338.75,48%,52%,1406,1400,25,75,4571,,,
Celsius,Link,1312,1504,81,165,1072,1115,8,40,294,1456,1104.25,84%,16%,1399,1400,25,75,2216,,,
thatguycharge,Link,1301,1362,25,206,1163,1203,28,119,378,1346.75,1193,61%,39%,1287,1275,25,75,2929,,,
Redstorm,Link,1375,1526,56,130,1171,1195,6,41,233,1488.25,1189,80%,20%,1428,1425,25,75,3182,,,
milesxpringles.,Link,1061,1061,49,33,930,977,62,13,157,1061,965.25,52%,48%,1015,1025,25,75,2388,,,
Qyxical,Link,1641,1748,124,308,1485,1487,14,52,498,1721.25,1486.5,87%,13%,1690,1700,25,75,3429,,,
Swan,Link,1413,1516,122,244,1235,1279,64,220,650,1490.25,1268,56%,44%,1393,1400,25,75,2761,,,
Clipzz,Link,1601,1673,94,206,1475,1603,92,309,701,1655,1571,43%,57%,1607,1600,25,75,,,,
Jee,Link,1789,1921,46,153,1733,1780,17,116,332,1888,1768.25,60%,40%,1840,1850,25,75,11229,,,
Grizz,Link,1736,1813,258,372,1487,1661,31,108,769,1793.75,1617.5,82%,18%,1762,1750,25,75,,,,
Slotha_,Link,1622,1758,72,137,1162,1491,14,38,261,1724,1408.75,80%,20%,1661,1650,25,75,3714,,,
Luminati,Link,1614,1748,14,81,1575,1650,48,164,307,1714.5,1631.25,31%,69%,1657,1650,25,75,10712,,,
Carbon,Link,1535,1732,92,278,1286,1599,49,130,549,1682.75,1520.75,67%,33%,1630,1625,25,75,5538,,,
Keyboard,gng,1578,1642,37,115,1206,1292,2,17,171,1626,1270.5,89%,11%,1587,1575,25,75,,,,
Low Go,gng,1452,1691,28,33,1261,1468,16,5,82,1631.25,1416.25,74%,26%,1576,1575,25,75,,,,
Derulaq,Link,1449,1608,7,113,1313,1400,34,22,176,1568.25,1378.25,68%,32%,1508,1500,25,75,5844,,,
Pickle,gng,1513,1607,151,262,1216,1252,96,66,575,1583.5,1243,72%,28%,1488,1500,25,75,,,,
Erddoggy,Link,1476,1514,55,180,1240,1446,29,30,294,1504.5,1394.5,80%,20%,1482,1475,25,75,,,,
Aqua,Link,1417,1538,120,216,1375,1395,35,179,550,1507.75,1390,61%,39%,1462,1450,25,75,660,,,
Enderman,Link,1440,1510,27,120,858,926,13,17,177,1492.5,909,83%,17%,1394,1400,25,75,1909,,,
Aquir,Link,1437,1437,38,58,1162,1185,39,43,178,1437,1179.25,54%,46%,1318,1325,25,75,2576,,,
sliky,gng,1330,1342,366,998,1020,1066,27,46,1437,1339,1054.5,95%,5%,1325,1325,25,75,,,,
Invncbl,Link,1134,1447,42,42,1121,1158,11,31,126,1368.75,1148.75,67%,33%,1295,1300,25,75,,,,
Jaelyn,gng,995,1391,308,491,995,1202,0,19,818,1292,1150.25,98%,2%,1289,1300,25,75,,,,
Nexus,Link,1085,1388,116,418,1025,1049,33,42,609,1312.25,1043,88%,12%,1279,1275,25,75,3089,,,
Tylezz,Link,1248,1361,144,105,860,869,16,26,291,1332.75,866.75,86%,14%,1265,1275,25,75,4323,,,
Litnyte,Link,1228,1313,498,222,1140,1243,183,75,978,1291.75,1217.25,74%,26%,1272,1275,25,75,,,,
Phantom,Link,1218,1323,145,210,1119,1206,84,223,662,1296.75,1184.25,54%,46%,1245,1250,25,75,1920,,,
Jonah,Link,1199,1283,217,186,1132,1135,55,33,491,1262,1134.25,82%,18%,1239,1250,25,75,7259,,,
nooreddin,Link,1150,1293,135,363,1054,1102,23,37,558,1257.25,1090,89%,11%,1239,1250,25,75,3112,,,
Bass,gng,1219,1278,73,329,1184,1184,40,20,462,1263.25,1184,87%,13%,1253,1250,25,75,,,,
Ace,gng,1216,1282,224,444,1172,1172,17,17,702,1265.5,1172,95%,5%,1261,1250,25,75,,,,
Murcialago,Link,1173,1302,94,376,913,1042,15,21,506,1269.75,1009.75,93%,7%,1251,1250,25,75,3406,,,
Kel,gng,1267,1312,203,147,1040,1120,112,116,578,1300.75,1100,61%,39%,1222,1225,25,75,,,,
Tuxyxx,Link,1156,1253,30,46,1058,1141,14,77,167,1228.75,1120.25,46%,54%,1170,1175,25,75,3085,,, 
Laz,gng,1152,1196,132,95,976,1091,84,44,355,1185,1062.25,64%,36%,1141,1150,25,75,,,,
Sway,phoenix,1413,1536,80,341,1180,1229,22,99,542,1505.25,1216.75,78%,22%,1441,1450,25,75,,,,
Dep,phoenix,1228,1365,196,339,1052,1128,19,38,592,1330.75,1109,90%,10%,1309,1300,25,75,,,,
Ernxdd,phoenix,1103,1215,137,152,1005,1143,38,131,458,1187,1108.5,63%,37%,1158,1150,25,75,,,,
Nyxx,gng,1206,1269,95,0,1157,1300,47,0,142,1253.25,1264.25,67%,33%,1257,1250,25,75,,,,
Bry,Link,1371,1448,77,143,1231,1414,22,256,498,1428.75,1368.25,44%,56%,1395,1400,25,75,3611,,,
Mango,gng,942,1092,30,336,940,984,30,173,569,1054.5,973,64%,36%,1025,1025,25,75,,,,